"season","driver","car","track","direction","grand_prix","date","position","player_name","player_time","points","screenshot_link"
"2021_gp1","viktor","el_toro","alpine_town","mirrored","racing_elite",2021-02-21,7,"FrenchguyCH","03:26:980",6,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-alpine_town-mirrored/2021_gp1-2021-02-21-racing_elite-alpine_town-mirrored.png"
"2021_gp1","viktor","el_toro","casino_run","mirrored","racing_elite",2021-02-21,1,"Wimpy","03:28:621",12,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-casino_run-mirrored/2021_gp1-2021-02-21-racing_elite-casino_run-mirrored.png"
"2021_gp1","viktor","el_toro","casino_run","mirrored","racing_elite",2021-02-21,2,"rpodcast","03:31:582",11,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-casino_run-mirrored/2021_gp1-2021-02-21-racing_elite-casino_run-mirrored.png"
"2021_gp1","viktor","el_toro","casino_run","mirrored","racing_elite",2021-02-21,3,"TwoD","03:37:523",10,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-casino_run-mirrored/2021_gp1-2021-02-21-racing_elite-casino_run-mirrored.png"
"2021_gp1","viktor","el_toro","casino_run","mirrored","racing_elite",2021-02-21,4,"FrenchguyCH","03:38:799",9,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-casino_run-mirrored/2021_gp1-2021-02-21-racing_elite-casino_run-mirrored.png"
"2021_gp1","viktor","el_toro","casino_run","mirrored","racing_elite",2021-02-21,5,"bigcalm","03:39:772",8,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-casino_run-mirrored/2021_gp1-2021-02-21-racing_elite-casino_run-mirrored.png"
"2021_gp1","viktor","el_toro","casino_run","mirrored","racing_elite",2021-02-21,6,"madhens","DNF",0,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-casino_run-mirrored/2021_gp1-2021-02-21-racing_elite-casino_run-mirrored.png"
"2021_gp1","viktor","el_toro","casino_run","mirrored","racing_elite",2021-02-21,7,"bigpod","DNF",0,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-casino_run-mirrored/2021_gp1-2021-02-21-racing_elite-casino_run-mirrored.png"
"2021_gp1","xing","sentinel","ski_paradise","normal","hotshot",2021-02-28,1,"crendo","02:27:211",12,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-ski_paradise-normal/2021_gp1-2021-02-28-hotshot-ski_paradise-normal.png"
"2021_gp1","xing","sentinel","ski_paradise","normal","hotshot",2021-02-28,2,"bigpod","02:27:836",11,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-28-hotshot-ski_paradise-normal/2021_gp1-2021-02-28-hotshot-ski_paradise-normal.png"
